image_name,tags
file_2172,primary partly_cloudy 
file_7507,cloudy
test_13741,clear primary 
file_9253,clear primary water partly_cloudy artisinal_mine habitation agriculture road 
file_13505,cloudy
file_4234,clear primary cultivation agriculture road 
test_22190,clear primary habitation agriculture road 
test_39192,clear primary water 
file_4543,clear primary agriculture 
file_6048,clear primary cultivation habitation agriculture road 
test_28519,clear primary water habitation agriculture road 
file_7745,clear primary water 
file_10364,clear primary water agriculture 
test_38688,clear primary water agriculture 
test_35839,primary water partly_cloudy agriculture road 
test_31832,clear primary agriculture road 
file_5050,clear primary cultivation partly_cloudy agriculture road 
test_26708,clear primary cultivation habitation agriculture road 
test_29842,clear primary water agriculture 
file_11606,primary water partly_cloudy 
file_13205,primary partly_cloudy 
test_23096,clear primary cultivation partly_cloudy habitation agriculture road 
test_9064,clear primary water agriculture 
test_37308,clear primary 
file_6882,primary water haze 
test_32744,clear primary cultivation habitation agriculture road 
file_13881,clear primary 
test_14446,clear primary 
file_823,cloudy
file_19537,clear primary 
file_17993,clear primary 
test_24287,primary partly_cloudy 
test_27313,cloudy
test_30714,clear primary 
test_7739,primary partly_cloudy 
test_35521,primary partly_cloudy agriculture 
file_4126,primary partly_cloudy 
test_26833,clear primary bare_ground agriculture road 
test_4522,clear primary water haze agriculture 
test_2742,primary cloudy partly_cloudy 
file_7873,clear primary 
test_34975,clear primary 
test_12446,clear primary 
test_37533,cloudy
file_9462,clear primary 
test_7425,clear primary agriculture road 
file_4694,clear primary partly_cloudy 
file_9708,clear primary water agriculture road 
test_21703,clear primary 
file_8100,cloudy
test_19605,clear primary 
file_14756,clear primary 
test_4810,cloudy
file_18894,primary haze partly_cloudy agriculture 
test_36691,primary cloudy haze 
test_11658,primary cultivation partly_cloudy agriculture 
test_481,clear primary 
test_9961,clear primary 
test_22728,primary water haze partly_cloudy agriculture 
test_5161,clear primary water 
test_7254,clear primary 
test_27602,clear primary water agriculture road 
file_5893,clear primary 
file_6263,clear primary 
file_8791,clear primary 
test_8549,clear primary 
test_6385,clear primary habitation agriculture road 
test_32007,clear primary 
test_27040,clear primary water cultivation agriculture road 
file_5527,clear primary cultivation habitation agriculture road 
test_35523,clear primary cultivation partly_cloudy habitation agriculture road 
file_3760,clear primary 
file_8908,clear primary 
test_17342,clear primary cultivation agriculture 
test_34095,primary haze 
file_9804,clear primary cultivation agriculture 
test_2487,primary partly_cloudy agriculture 
file_19006,cloudy
test_39034,clear primary 
file_3981,cloudy
test_27336,clear primary water haze habitation agriculture road 
file_13789,primary partly_cloudy agriculture 
test_27108,clear primary habitation agriculture 
file_10712,cloudy
test_24640,primary partly_cloudy 
test_13558,clear primary water agriculture 
test_11014,clear primary agriculture 
test_14640,clear primary 
file_18023,clear primary 
test_9075,clear primary cultivation partly_cloudy agriculture 
test_2121,clear primary 
test_32456,clear primary 
test_3903,clear primary 
test_20492,primary partly_cloudy 
test_19312,cloudy
file_12269,clear primary water habitation bare_ground agriculture road 
test_16388,clear primary 
test_25963,clear primary cultivation agriculture 
file_1355,clear primary 
file_7849,clear primary 
test_35611,clear primary agriculture road 
test_36270,clear primary cultivation habitation agriculture 
test_7021,clear primary 
test_32851,clear primary water agriculture road 
file_8783,clear primary water cultivation habitation agriculture road 
test_5269,primary water partly_cloudy agriculture road 
test_5409,cloudy
file_15206,clear primary 
test_14805,clear primary 
test_26320,primary haze 
test_15615,clear primary habitation agriculture road 
file_17838,clear primary 
file_11052,clear primary habitation agriculture road 
file_19384,clear primary haze 
file_9710,clear primary 
file_7688,clear primary cultivation partly_cloudy habitation agriculture road 
file_7777,clear primary cultivation partly_cloudy agriculture 
file_7956,clear primary water cultivation agriculture road 
test_36832,cloudy
test_29669,clear primary cultivation agriculture 
test_8567,clear primary water road 
test_11611,clear primary 
file_2889,cloudy
test_24606,clear primary water cultivation agriculture road 
test_24536,clear primary haze partly_cloudy 
test_8594,clear primary 
file_13326,clear primary 
file_1222,primary water partly_cloudy 
test_26629,clear primary 
test_25289,clear primary cultivation agriculture 
test_38799,clear primary cultivation habitation agriculture road 
test_2235,clear primary cultivation habitation agriculture road 
file_835,clear primary 
file_9436,clear primary cultivation partly_cloudy 
file_5040,clear primary partly_cloudy 
file_19560,clear primary 
test_94,clear primary 
test_7052,clear primary 
file_5042,clear primary water cultivation habitation agriculture 
file_2135,clear primary 
test_34362,primary haze 
test_32331,clear primary 
test_21469,clear primary water road 
test_4939,clear primary 
test_25283,clear primary 
file_19521,primary cloudy partly_cloudy 
test_33616,clear primary cloudy water agriculture 
test_29500,clear primary 
test_33090,clear primary 
file_16853,clear primary 
test_32301,cloudy
test_5913,cloudy
test_24905,clear primary bare_ground agriculture road 
test_29736,clear primary 
test_31143,primary partly_cloudy 
test_11893,clear primary agriculture road 
file_12628,primary cloudy haze 
test_10062,cloudy
test_22914,clear primary 
file_2053,clear primary agriculture 
test_1187,clear primary 
test_28611,clear primary 
test_18818,clear primary cultivation agriculture road 
file_2254,clear primary water 
test_31146,clear primary 
test_17225,clear primary 
test_7876,clear primary water habitation agriculture road 
test_24324,clear primary cultivation habitation agriculture road 
file_8625,clear primary agriculture 
test_36603,clear primary cultivation agriculture road 
file_10050,clear primary 
file_8439,clear primary 
test_23511,primary haze partly_cloudy agriculture 
file_19614,clear primary water agriculture 
test_3560,primary cloudy haze 
test_3797,primary partly_cloudy 
test_25329,clear primary partly_cloudy agriculture road 
test_37943,clear primary 
test_7287,clear primary cultivation agriculture road 
test_1127,clear primary agriculture road 
test_36806,clear primary 
file_15888,clear primary 
file_19182,clear primary cultivation habitation agriculture 
file_19175,primary cloudy haze 
file_18132,cloudy
test_868,clear primary 
test_27880,clear primary water partly_cloudy 
file_8365,clear primary haze 
test_36218,clear primary habitation agriculture road 
file_7755,primary partly_cloudy 
test_8805,clear primary 
file_5898,clear primary 
test_12096,clear primary habitation agriculture road 
file_2853,clear primary 
test_27173,clear primary water 
test_29318,clear primary 
test_11175,clear primary water cultivation 
file_13635,cloudy
file_18987,clear primary water habitation agriculture 
file_18806,primary cloudy haze 
test_4121,clear primary 
file_1223,clear primary 
test_5396,clear primary water haze agriculture road 
file_8454,clear primary 
test_25002,primary haze 
file_17044,clear primary 
test_32427,cloudy
file_750,primary partly_cloudy 
test_27538,clear primary 
test_6994,cloudy
test_25010,clear primary 
file_3002,clear primary water agriculture 
file_15665,clear primary agriculture road 
file_13296,clear primary water habitation agriculture road 
test_40173,clear primary water cultivation habitation agriculture road 
test_28236,primary partly_cloudy 
test_35562,primary water partly_cloudy agriculture 
test_6249,primary partly_cloudy agriculture 
file_18010,primary partly_cloudy 
test_26003,clear blooming primary 
test_31930,clear primary 
test_17432,clear primary water partly_cloudy agriculture 
test_10479,clear primary 
test_11192,clear primary 
test_37171,clear primary cultivation habitation agriculture road 
test_22625,clear primary 
test_20327,clear primary 
test_6945,clear primary 
test_28446,clear primary 
file_19373,clear primary 
test_15145,primary partly_cloudy 
file_8246,clear primary 
file_12636,cloudy
file_15536,clear primary agriculture road 
test_12897,primary cloudy water partly_cloudy agriculture 
file_16638,primary partly_cloudy 
test_214,clear primary partly_cloudy 
test_24955,clear primary water agriculture 
test_12660,clear primary bare_ground agriculture road 
test_799,clear primary 
file_8186,clear primary cultivation agriculture road 
file_7576,clear primary partly_cloudy 
test_1227,cloudy
file_18020,clear primary 
test_38684,clear primary cultivation agriculture 
test_10784,clear primary 
test_10238,clear primary 
file_18415,clear primary water road 
test_566,clear primary 
test_34460,clear primary cultivation habitation agriculture road 
test_38584,clear primary partly_cloudy 
file_6684,clear primary cultivation 
test_15441,clear primary water cultivation partly_cloudy habitation agriculture road 
test_40355,clear primary 
test_29553,clear primary water habitation agriculture road 
test_7278,primary cloudy partly_cloudy 
file_18503,clear primary water agriculture 
test_36524,clear primary 
file_10986,clear primary 
file_8275,clear primary 
file_12801,clear primary 
file_13627,clear primary haze agriculture 
test_39276,primary cloudy haze 
test_33918,clear primary cultivation 
file_6869,clear primary 
file_6811,clear primary cultivation agriculture 
test_3623,clear primary cultivation habitation agriculture road 
test_30226,primary haze 
file_9272,clear primary partly_cloudy 
test_38711,cloudy
file_2949,clear primary agriculture road 
file_16479,primary partly_cloudy 
test_2303,clear primary 
file_18542,clear primary haze 
test_3574,clear primary haze 
test_40192,clear primary cultivation agriculture 
file_4311,clear primary 
test_10907,clear primary 
test_38419,clear primary 
test_13331,clear primary 
test_10095,clear primary water 
file_19566,clear primary 
test_33025,clear primary water habitation road 
file_865,clear primary 
test_2603,clear primary 
test_33563,primary partly_cloudy 
test_4322,primary water partly_cloudy agriculture 
test_22646,clear primary 
test_20411,clear primary 
file_13167,clear primary cultivation partly_cloudy habitation agriculture road 
test_3436,cloudy
test_5297,clear primary 
test_308,primary partly_cloudy agriculture 
test_22008,clear primary haze 
file_4980,clear primary 
test_25730,clear primary 
file_5582,clear primary 
file_4809,primary partly_cloudy agriculture road 
test_5626,clear primary 
file_7031,clear primary 
test_12855,clear primary partly_cloudy agriculture road 
file_2574,primary partly_cloudy 
test_38658,clear primary 
test_12941,clear primary water 
test_28363,primary water haze agriculture road 
test_24375,clear primary water cultivation agriculture 
file_7871,primary partly_cloudy 
test_22211,clear primary 
test_18210,clear primary 
file_3337,primary water partly_cloudy 
test_26192,clear primary water partly_cloudy agriculture 
test_400,clear primary 
test_14739,clear primary habitation agriculture road 
test_31944,clear primary water cultivation habitation agriculture road 
file_19973,cloudy
file_2605,clear primary cultivation habitation agriculture road 
test_20078,primary cultivation partly_cloudy habitation agriculture road 
file_8281,clear primary water cultivation habitation agriculture road 
test_18155,clear primary 
test_16527,clear primary 
file_5904,clear primary partly_cloudy habitation agriculture road 
file_13179,clear primary 
test_22960,clear primary cultivation agriculture 
test_10374,clear primary 
file_6319,clear primary cultivation agriculture road 
test_33650,clear primary cultivation agriculture road 
test_11243,primary cloudy partly_cloudy 
test_24052,clear primary 
test_3049,clear primary 
test_32600,clear primary 
file_14455,clear primary water cultivation habitation agriculture road 
file_12053,cloudy
file_6566,primary haze 
file_16158,clear primary habitation bare_ground agriculture road 
file_1124,clear primary cultivation agriculture 
test_21031,clear primary water cultivation agriculture 
test_5724,primary haze partly_cloudy 
test_2342,clear primary water artisinal_mine habitation agriculture road 
file_14444,primary cloudy haze 
test_14589,clear primary 
test_31849,clear primary 
file_17534,clear primary water agriculture 
file_6848,clear primary 
file_1354,primary cloudy partly_cloudy 
test_3618,clear primary cultivation agriculture road 
file_9411,clear primary 
file_14454,clear primary haze 
test_39785,primary partly_cloudy habitation agriculture road 
test_32489,clear primary 
test_439,clear primary water agriculture road 
test_32095,clear primary haze 
test_20182,clear primary 
test_24091,clear primary cultivation agriculture 
test_36915,clear primary agriculture road 
test_2920,clear primary water cultivation agriculture 
test_20163,primary partly_cloudy 
test_23197,clear primary water cultivation 
test_23856,primary partly_cloudy 
test_32318,clear primary 
test_27081,cloudy
file_9646,clear primary water habitation agriculture road 
test_28021,clear primary water agriculture road 
file_6229,clear primary water cultivation habitation agriculture road 
test_36994,primary haze 
file_326,primary haze 
test_13034,clear primary cultivation partly_cloudy agriculture 
test_19469,primary partly_cloudy 
file_4556,clear primary water 
test_38290,clear primary water 
test_34306,primary water cultivation partly_cloudy habitation agriculture road 
test_13282,clear primary water agriculture road 
file_12434,clear primary 
test_25762,primary water partly_cloudy agriculture road 
test_20112,primary water cultivation partly_cloudy agriculture road 
test_28635,clear primary water agriculture road 
test_24469,primary partly_cloudy 
file_19375,cloudy
test_1548,clear primary water 
test_35703,clear primary 
test_27544,clear primary 
file_4217,clear primary cultivation agriculture 
file_318,clear primary water artisinal_mine habitation bare_ground agriculture road 
test_7178,primary partly_cloudy 
test_12712,cloudy
test_32931,primary partly_cloudy 
file_1709,clear primary water haze habitation agriculture road 
file_14841,clear primary cultivation habitation agriculture road 
file_20279,primary partly_cloudy 
test_8524,clear primary 
test_24666,clear primary bare_ground agriculture road 
file_4359,clear primary cultivation agriculture 
test_5368,clear primary 
test_25148,clear primary 
test_34017,primary partly_cloudy agriculture 
file_8667,clear primary water cultivation agriculture 
test_12197,clear primary water agriculture 
file_20216,clear primary 
file_13698,primary cultivation partly_cloudy agriculture 
test_13692,clear primary cultivation agriculture 
file_12120,primary water partly_cloudy agriculture road 
test_20938,clear primary 
test_19765,clear primary water 
test_8609,clear primary water haze agriculture road 
file_4552,clear primary 
file_19430,cloudy
test_17540,clear primary 
test_24577,clear primary 
test_35673,clear primary water agriculture 
file_19650,primary water haze partly_cloudy agriculture 
file_4604,primary haze partly_cloudy 
file_12595,clear primary 
file_20062,clear primary cultivation partly_cloudy agriculture 
test_34967,primary water partly_cloudy agriculture 
test_39724,clear primary water agriculture 
test_16526,clear primary cultivation agriculture 
file_7370,cloudy
file_5112,clear primary water habitation agriculture road 
test_21775,clear primary 
test_23982,clear primary cultivation agriculture 
file_4163,clear primary water 
test_29833,clear primary water haze 
file_13833,clear primary 
file_9497,clear primary 
test_12086,primary cloudy partly_cloudy agriculture 
test_131,clear primary 
test_30555,clear primary 
test_9635,clear primary water agriculture 
test_18556,clear primary 
test_4823,clear primary cultivation partly_cloudy agriculture 
test_22389,clear primary 
test_40633,clear primary cultivation agriculture 
test_35450,clear primary 
file_19286,clear primary water agriculture road 
file_19657,clear primary cultivation habitation agriculture 
test_28020,clear primary 
test_11017,clear primary agriculture 
file_15202,clear primary water artisinal_mine agriculture road 
test_5753,clear primary 
file_11942,clear primary water haze agriculture road 
file_3747,clear primary 
test_8223,clear primary road 
test_15284,clear primary 
test_26997,primary partly_cloudy 
file_18917,clear primary water agriculture road 
test_5733,clear primary 
test_38686,clear primary 
file_10155,clear primary 
test_10635,clear primary cultivation partly_cloudy agriculture road 
file_6460,clear primary cultivation agriculture 
test_10848,primary water haze agriculture road 
test_13470,primary partly_cloudy 
file_15010,clear primary water cultivation agriculture road 
file_18683,clear primary 
test_13176,primary partly_cloudy 
file_9351,cloudy
file_16580,clear primary water cultivation habitation agriculture road 
file_3938,clear primary 
test_22274,clear primary water 
test_33030,clear primary water agriculture road 
test_2434,clear primary 
test_18390,clear primary 
test_33368,clear primary 
file_3512,primary haze 
test_14580,clear primary 
file_10668,primary partly_cloudy 
test_35809,clear primary cultivation partly_cloudy agriculture 
file_2730,clear primary water cultivation agriculture 
file_12007,primary partly_cloudy agriculture 
file_9258,clear primary 
test_18090,clear primary 
test_37527,clear primary 
file_16323,clear primary 
test_33247,clear primary cultivation habitation agriculture road 
test_14595,clear primary 
test_18554,primary partly_cloudy 
test_9243,clear primary 
file_6474,clear primary agriculture road 
test_8053,primary water partly_cloudy agriculture road 
test_34690,cloudy
file_2262,primary haze 
test_28571,clear primary water partly_cloudy agriculture road 
test_18342,clear primary water agriculture 
file_13427,clear primary water habitation agriculture road 
file_16584,clear primary cultivation agriculture road 
test_15499,clear primary 
file_6936,clear primary cultivation agriculture 
test_6573,clear primary agriculture road 
test_14400,primary cloudy haze 
test_35023,clear primary 
test_12549,clear primary 
test_28866,primary water haze agriculture 
file_3765,clear primary water cultivation partly_cloudy agriculture 
file_8823,clear primary 
test_39694,clear primary water cultivation agriculture road 
file_153,clear primary water haze road 
test_31445,clear primary 
test_4653,primary cloudy haze partly_cloudy 
test_15833,clear primary cultivation agriculture 
test_2025,clear primary 
test_2899,primary partly_cloudy 
file_3138,clear primary cultivation agriculture road 
test_1128,clear primary cultivation habitation agriculture road 
file_12588,clear primary cultivation agriculture road 
test_21520,clear primary 
test_38235,primary partly_cloudy 
test_21174,clear primary water road 
test_12821,clear primary 
test_36347,clear primary 
test_26376,primary cultivation partly_cloudy agriculture 
test_28499,cloudy
test_25071,clear primary cultivation agriculture 
test_33119,cloudy
test_33026,primary partly_cloudy 
test_16197,clear primary 
test_10991,clear primary haze 
test_23925,clear primary cultivation agriculture 
test_9831,clear primary 
test_9481,primary partly_cloudy 
test_4663,clear primary water habitation agriculture road 
test_26283,clear primary water 
test_29911,clear primary haze 
test_31709,cloudy
file_4536,primary partly_cloudy 
file_13897,clear primary cultivation habitation agriculture road 
file_2540,clear primary 
test_33159,clear primary partly_cloudy habitation agriculture road 
file_7457,primary water haze agriculture 
test_31747,cloudy
file_4229,clear primary water cultivation agriculture 
test_35479,clear primary 
file_14163,clear primary habitation road 
test_17338,clear primary agriculture 
test_39781,clear primary water agriculture 
file_17347,primary haze partly_cloudy 
file_2802,primary partly_cloudy 
file_2078,primary partly_cloudy 
test_31312,clear primary water cultivation partly_cloudy agriculture road 
test_10709,clear primary 
file_7574,primary partly_cloudy 
file_20077,primary partly_cloudy 
test_7435,clear primary 
test_22976,cloudy
file_10337,clear primary cultivation habitation agriculture road 
test_474,clear primary 
test_40256,clear primary 
test_38735,clear primary water cultivation habitation agriculture 
file_20086,primary partly_cloudy 
test_20556,clear primary water cultivation agriculture road 
file_10687,clear primary cultivation agriculture road 
test_40113,primary partly_cloudy agriculture 
test_31981,clear primary water bare_ground agriculture road 
test_25526,primary partly_cloudy 
test_8822,clear primary 
test_2979,primary water partly_cloudy agriculture road 
test_36383,primary water partly_cloudy habitation agriculture road 
test_32178,cloudy
file_12615,clear primary 
file_19378,primary cloudy haze 
file_17411,clear primary 
test_23009,primary partly_cloudy agriculture 
test_5194,clear primary 
test_39423,clear primary 
test_21655,primary partly_cloudy 
test_15951,clear primary 
file_7609,clear primary water habitation agriculture road 
test_29766,clear primary cultivation habitation agriculture road 
test_6538,primary water partly_cloudy agriculture 
test_18515,clear primary 
test_18315,clear primary 
file_16205,clear primary cultivation partly_cloudy habitation agriculture road 
test_3450,clear primary water haze partly_cloudy agriculture 
test_21288,primary cloudy haze partly_cloudy agriculture road 
file_3336,clear primary agriculture road 
test_27902,clear primary water cultivation agriculture 
test_58,clear primary 
test_5850,clear primary 
test_16152,primary partly_cloudy agriculture 
test_30846,clear primary 
file_17500,clear primary habitation agriculture road 
test_23446,clear primary habitation agriculture road 
test_35053,clear primary agriculture road 
test_6079,clear primary partly_cloudy agriculture 
test_29724,clear primary agriculture 
test_20238,clear primary 
file_10785,clear primary 
test_33249,clear primary agriculture road 
file_734,clear primary 
file_6934,clear primary water partly_cloudy agriculture road 
file_19482,clear primary cultivation agriculture road 
test_28071,clear primary water partly_cloudy agriculture road 
test_20368,clear primary cultivation habitation agriculture road 
file_9360,clear primary 
test_35955,clear primary water cultivation agriculture 
test_17629,clear primary 
test_24814,primary partly_cloudy 
test_2302,clear primary water 
test_8283,clear primary agriculture road 
file_595,clear primary 
test_19113,clear primary 
file_11023,clear primary cultivation agriculture 
test_10005,clear primary cultivation habitation agriculture road 
file_7385,clear primary cultivation habitation agriculture road 
test_35278,clear primary 
test_36207,clear primary 
test_1437,clear primary water agriculture road 
test_9791,clear primary water cultivation partly_cloudy agriculture road 
test_23812,clear primary 
file_18263,clear primary haze 
test_24075,clear primary cultivation 
test_2036,cloudy
file_15898,clear primary habitation road 
file_13682,clear primary water agriculture road 
test_2666,clear primary partly_cloudy 
test_31420,clear primary water habitation agriculture road 
test_18891,clear primary cultivation agriculture 
file_15191,clear primary 
test_9071,clear primary haze cultivation agriculture 
test_13200,clear primary 
file_11773,cloudy
test_34578,clear primary 
file_14302,clear primary 
file_14429,clear primary water 
test_6878,clear primary 
test_20205,clear primary 
test_33133,clear primary 
test_26479,clear primary cultivation agriculture 
file_7423,clear primary water agriculture road 
test_20885,clear primary 
test_24622,clear primary cultivation agriculture 
test_8761,clear primary water haze habitation road 
file_9840,clear primary 
test_40568,clear primary 
test_7045,clear primary habitation agriculture road 
file_19007,cloudy
test_20568,clear primary 
test_31416,primary water partly_cloudy agriculture road 
test_35713,clear primary cultivation habitation agriculture road 
test_39790,clear primary habitation agriculture road 
test_6377,clear primary 
test_27344,clear primary 
file_6278,clear primary 
test_1958,primary water partly_cloudy 
test_12866,primary water haze agriculture 
test_16180,clear primary cultivation agriculture 
test_25620,clear primary 
file_13868,primary partly_cloudy agriculture road 
file_2733,clear primary 
test_6158,clear primary 
file_19288,clear primary 
file_8674,clear primary water cultivation habitation agriculture road 
test_26977,clear primary water partly_cloudy agriculture 
test_24038,clear primary water partly_cloudy road 
test_23238,clear primary water agriculture 
test_32504,clear primary habitation agriculture road 
file_1307,primary partly_cloudy 
test_1642,clear primary cultivation agriculture 
test_11247,clear primary haze 
file_10719,primary partly_cloudy agriculture 
file_18633,cloudy
file_6202,clear primary water artisinal_mine 
test_23348,clear primary haze habitation agriculture road 
test_28703,clear primary haze cultivation agriculture 
test_24526,clear primary 
test_30129,clear primary 
test_19126,clear primary water artisinal_mine 
test_21159,cloudy
file_15570,cloudy
test_15879,cloudy
test_24930,primary partly_cloudy 
file_20404,clear primary cultivation habitation agriculture road 
test_8663,clear primary partly_cloudy 
test_22529,clear primary cultivation agriculture 
test_7629,primary partly_cloudy 
test_28247,primary water partly_cloudy 
test_40648,clear primary 
test_23470,clear primary 
test_36008,clear primary cultivation agriculture 
test_14732,primary water partly_cloudy 
test_599,clear primary 
file_20278,clear primary cultivation agriculture road 
test_34101,cloudy
test_765,clear primary 
file_10201,clear primary habitation agriculture road 
file_11844,clear primary water cultivation artisinal_mine habitation agriculture road 
test_18014,primary cloudy haze 
test_6010,primary cloudy haze 
test_14520,clear primary cultivation agriculture 
file_17946,clear primary haze 
test_35594,clear primary habitation agriculture road 
test_3249,clear primary water cultivation partly_cloudy agriculture road 
test_1787,clear primary water agriculture road 
test_2157,clear primary habitation agriculture road 
test_5246,clear primary water habitation agriculture road 
file_19040,clear primary 
test_3054,clear primary water habitation road 
test_38580,clear primary 
file_12574,clear primary 
test_5783,clear primary 
test_14389,clear primary water habitation agriculture road 
test_11647,clear primary 
file_15261,primary cultivation partly_cloudy agriculture 
test_27994,clear primary water cultivation habitation agriculture road selective_logging 
test_6924,clear primary habitation agriculture road 
test_32864,cloudy
test_17121,clear primary partly_cloudy habitation agriculture road 
test_32521,clear primary partly_cloudy habitation agriculture road 
file_11637,clear primary water 
file_3046,clear primary 
test_29668,clear primary 
test_32779,clear primary agriculture road 
test_33058,primary water partly_cloudy 
test_18653,clear primary 
test_28895,primary partly_cloudy 
test_38487,clear primary 
test_5775,clear primary 
file_6298,clear primary cultivation agriculture 
file_5038,clear primary 
test_22967,clear primary 
test_3109,clear primary 
test_29155,clear primary 
test_17094,clear primary 
test_37767,cloudy
file_8245,clear primary 
file_15123,primary partly_cloudy 
test_31974,primary cloudy water haze agriculture 
test_978,clear primary 
file_4223,clear primary haze 
file_250,clear primary 
test_27292,clear primary cultivation agriculture 
test_32389,clear primary water cultivation agriculture 
file_13539,clear primary water road 
test_30261,clear primary 
test_580,clear primary habitation agriculture road 
test_36631,clear primary agriculture road 
test_36291,clear primary cultivation agriculture 
test_31869,cloudy
file_15141,clear primary cultivation agriculture 
test_38518,primary water partly_cloudy agriculture 
test_14338,clear primary 
file_7058,primary water partly_cloudy agriculture road 
test_3879,cloudy
test_22188,primary water partly_cloudy 
file_19319,clear primary water road selective_logging 
test_22202,primary partly_cloudy agriculture 
test_39220,primary haze partly_cloudy agriculture 
file_19397,clear primary cultivation agriculture road 
test_4094,clear primary water artisinal_mine bare_ground agriculture road 
test_1382,clear primary cultivation agriculture 
test_31582,primary cultivation partly_cloudy agriculture 
file_6072,clear primary haze 
test_26276,clear primary water agriculture 
file_2554,clear primary water cultivation agriculture road 
test_26920,primary partly_cloudy 
test_28419,clear primary 
file_10070,clear primary cultivation agriculture 
test_1316,clear primary 
test_6505,primary water partly_cloudy agriculture 
file_18150,primary water partly_cloudy 
file_8173,clear primary 
test_27847,clear primary 
test_39875,clear primary cultivation partly_cloudy habitation agriculture road 
file_15794,clear primary 
test_38244,clear primary water agriculture 
file_10584,cloudy
test_37620,primary partly_cloudy agriculture 
file_6797,clear primary agriculture road 
file_843,clear primary 
file_13065,clear primary 
test_33235,clear primary 
file_18200,primary water partly_cloudy agriculture 
file_7406,clear primary water agriculture road 
file_2774,primary partly_cloudy 
test_40476,primary partly_cloudy 
test_17462,clear primary 
test_1575,clear primary water cultivation habitation agriculture road 
test_18813,clear primary 
test_3001,clear primary 
test_28173,clear primary 
test_27938,clear primary 
test_17909,clear primary water cultivation agriculture road 
file_6971,clear primary water partly_cloudy agriculture 
test_7664,cloudy
test_33029,clear primary water cultivation agriculture road 
test_8905,clear primary partly_cloudy agriculture 
test_27996,primary partly_cloudy 
test_24902,clear primary 
test_5245,clear primary 
test_30837,clear primary 
test_28863,clear primary 
file_3857,clear primary water haze agriculture road 
test_27731,cloudy
test_10010,clear primary water partly_cloudy agriculture 
file_6182,clear primary partly_cloudy agriculture road 
test_26851,clear primary habitation agriculture road 
test_25291,primary partly_cloudy 
test_32072,clear primary water road 
test_11862,clear primary 
test_39757,primary partly_cloudy 
test_23735,primary partly_cloudy 
test_5049,clear primary 
file_1726,primary partly_cloudy 
test_18211,clear primary 
